ST_CASE,StateName,CountyName,CityName,Latitude,Longitude
131447,Georgia,RABUN (241),NOT APPLICABLE,34.84582778,-83.41143333
131448,Georgia,GWINNETT (135),NORCROSS,33.95618333,-84.244925
131449,Georgia,THOMAS (275),OCHLOCKNEE,30.936825,-84.02855278
131450,Georgia,COLQUITT (71),MOULTRIE,31.16040556,-83.67966389
131451,Georgia,WARE (299),WAYCROSS,31.36404444,-82.49479722
131452,Georgia,GWINNETT (135),NOT APPLICABLE,33.90255,-84.07959167
131453,Georgia,HARRIS (145),Other,32.62589722,-85.03677222
131454,Georgia,LOWNDES (185),LAKE PARK,30.68866389,-83.20468889
131455,Georgia,GLYNN (127),BRUNSWICK,31.21672222,-81.51826944
131456,Georgia,BIBB (21),MACON,32.72337222,-83.65360833
131457,Georgia,DEKALB (89),DORAVILLE,33.90583889,-84.27975833
131458,Georgia,FULTON (121),ATLANTA,33.68290278,-84.41054722
131460,Georgia,ATKINSON (3),WILLACOOCHEE,31.34282778,-83.05378056
131461,Georgia,ROCKDALE (247),Other,33.75904444,-84.01088333
131463,Georgia,JACKSON (157),BRASELTON,34.13451667,-83.77208333
131464,Georgia,CLAYTON (63),NOT APPLICABLE,33.61906111,-84.41803056
